id,publisher
0,Max Factory
1,Azone International
2,Square Enix
3,Good Smile Company
4,Genco
5,Medicos Entertainment
6,Snail Shell Studio
7,Storm Collectibles
8,Sentinel
9,Kotobukiya
10,TB League 
11,Aoshima
12,APEX
13,Japan
14,Bandai Spirits
15,VTOYS
16,Daibadi Production 
17,So-ta
18,Bandai
19,Takara Tomy
20,Kaiyodo
21,Gomora Kick
22,Medicom Toy
23,Aniplex
24,Kadokawa
25,KEMO
26,Flame Toys
27,"FunnyKnights, Aoshima"
28,MegaHouse
29,Wave
30,Daibadi Production
31,TOYSEIIKI
32, Daikatori Omocha
33,Daikatori Omocha
34,FREEing
35,Good Smile Racing
36,1000toys
37,Stronger
38,Alphamax
39,Skytube
40,Good Smile Arts Shanghai
41,eStream
42,furyu
43,Hobby Max
44,Emontoys
45,"AmiAmi , Oh-ami"
46,F.W.A.T
47,Union Creative
48,Phat Company
49,Daiki kogyo
50,Revolve
51,MiHoYo
52,WANDERER
53,Pink Charm
54,AmiAmi x AMAKUNI
55,Bandai Namco Arts
56,Alter
57,knead
58,NetEase Games
59,"Kaitendo , Mabell"
60,ques Q
61,Hobby Stock
62,TMS Entertainment
63,RIBOSE
64,Proovy
65,Intelligent System
66,Vertex
67,WING
68,MIMEYOI
69,AniGift
70,A+
71,Q-six
72,Hobby Max Japan
73,Our Treasure
74,"Zero-G Act , Revolve"
75,GENESIS
76,"AmiAmi, Ohmi"
77,Bellfine
78,Native
79,"BINDing, Native"
80,Bishop's Rondo
81,Orca Toys
82,"Aniplex, Max Factory"
83,"FunnyKnights , Aoshima"
84,"Pink , Charm"
85,"PM Office A , Plum"
86,Broccoli
87,eighteen
88,Myethos
89,"MAPPA , eStream"
90,plusone
91,Nekoyome
92,KADOKAWA
93,"Kadokawa, Chara-ani"
94,Dreamtech
95,Union Crative
96,"BINDing , Native"
97,Wonderful Works
98,AmiAmi
99,With Fans!
100,Amakuni
101,Hot Toys
102,Licorne
103,Di molto bene
104,Party Look
105,"Milestone , Queen Ted"
106,amie x ALTAiR
107,"Mabell , Lechery"
108,"Plum , PM Office A "
109,Miyuki
110,Hakoiri Musume
111,OrchidSeed
112,"WING , Aniplex"
113,"Hobby Max , Hobby Max Japan"
114,Flare
115,"Aniplex  , Wing "
116,"BINDing , Native "
117,Fengrong
118,Insight
119,GOODSMILE RACING & TYPE-MOON RACING
120, WING
121,Reverse Studio
122,Kaitendo
123,MEDIUM5
124,Plum
125,Luminous Box
126,Magic Mold
127,Dream Bistro
128,Ryu-NS
129,BINDing
130,PM Office A
131,Gecco
132,Alpha Satellite
133,Shine
134, Alter
135,Daiki Kogyo
136,
137," amiami , Oh-ami"
138,DAMTOYS
139,Plex
140,X PLUS
141,Toytec
142,Fine Clover
143,"Good Smile Company , Good Smile Racing"
144,Medicos Entertainment 
145,Good Smile Company 
146,Orange Rouge
147,RE-MENT
148,Capcom
149,Aquamarine
